daily_study_hours,social_media_hours,tv_hours,part_time_job,sleep_hours,diet_quality,exercise_frequency_weekly,mental_health_rating,extracurricular_participation
1.4,3.1,1.3,0,8.0,0,1.0,0.551428376906,0
0.0,1.2,1.1,0,8.0,1,6.0,0.863796296296,1
6.9,2.8,2.3,0,4.6,2,6.0,0.614809368192,0
1.0,3.9,1.0,0,9.2,0,4.0,0.724042755991,1
5.0,4.4,0.5,0,4.9,1,3.0,0.47417211329,0
7.2,1.3,0.0,0,7.4,1,1.0,0.498566176471,0
5.6,1.5,1.4,1,6.5,2,2.0,0.506292211329,0
4.3,1.0,2.0,1,4.6,1,0.0,0.399997276688,0
4.4,2.2,1.7,0,7.1,2,3.0,0.648788126362,0
4.8,3.1,1.3,0,7.5,2,5.0,0.758928376906,1
4.6,3.7,0.8,0,5.8,1,1.0,0.471300381264,0
3.9,2.4,2.5,0,7.9,1,2.0,0.610713507625,0
3.7,2.1,0.4,1,4.5,1,1.0,0.388756808279,0
3.4,2.7,2.7,0,4.7,1,4.0,0.586875,0
2.4,1.5,0.7,0,6.7,0,6.0,0.647392429194,0
3.1,5.0,1.0,0,6.5,2,6.0,0.668858932462,0
1.0,0.6,0.2,0,5.6,0,3.0,0.659065904139,1
3.4,2.7,1.2,0,7.5,0,0.0,0.564652777778,1
2.0,4.9,2.9,1,7.1,2,2.0,0.543293845316,0
1.8,2.5,2.4,0,7.5,1,1.0,0.609415849673,0
3.8,2.3,2.9,0,6.4,2,3.0,0.657779139434,0
5.6,2.1,2.4,0,7.2,1,1.0,0.542357026144,0
4.9,2.3,0.6,0,6.0,1,3.0,0.544293300654,0
1.1,4.1,1.4,1,9.0,1,6.0,0.649453976035,0
2.0,0.0,0.9,1,5.5,1,4.0,0.565539215686,0
4.9,4.3,3.3,0,9.0,1,1.0,0.651793300654,1
2.0,0.8,0.5,0,6.5,2,4.0,0.70961328976,0
3.2,2.2,2.8,1,4.8,1,5.0,0.538760893246,0
4.3,2.0,2.8,1,8.1,2,5.0,0.73559912854,1
2.0,3.2,3.8,1,6.7,0,6.0,0.658502178649,1
3.7,0.6,1.3,0,7.5,1,2.0,0.620215141612,0
1.5,3.1,2.6,1,8.0,1,4.0,0.683922930283,1
2.6,4.9,4.3,0,6.9,2,3.0,0.663446350763,0
4.0,0.9,1.1,0,5.8,0,2.0,0.513833061002,0
1.1,2.7,0.1,0,7.7,1,1.0,0.588944716776,0
4.2,1.7,0.0,1,6.5,2,1.0,0.481507352941,0
3.5,3.0,2.6,0,7.3,1,3.0,0.618003812636,0
4.3,2.5,0.0,1,3.9,2,0.0,0.374742647059,0
3.8,1.7,1.4,0,7.0,0,0.0,0.486806917211,0
5.5,3.1,2.3,0,5.7,2,1.0,0.536390250545,0
3.7,4.7,2.0,0,8.5,2,6.0,0.728710511983,0
